sep=,
"Time","130.250.167.103 - IN2APPQ01: ICMP response time","130.250.167.104 - IN2WEBQ01: ICMP response time","130.250.167.105 - IN2SQLQ01: ICMP response time"
2023-10-17 10:00:00,544 µs,562 µs,554 µs
2023-10-17 11:00:00,590 µs,588 µs,544 µs
2023-10-17 12:00:00,636 µs,551 µs,537 µs
2023-10-17 13:00:00,680 µs,706 µs,625 µs
2023-10-17 14:00:00,3.64 ms,3.83 ms,3.74 ms
2023-10-17 15:00:00,3.60 ms,3.56 ms,3.62 ms
2023-10-17 16:00:00,3.28 ms,3.24 ms,3.24 ms
2023-10-17 17:00:00,597 µs,553 µs,545 µs
2023-10-17 18:00:00,561 µs,543 µs,558 µs
2023-10-17 19:00:00,550 µs,559 µs,579 µs
2023-10-17 20:00:00,556 µs,537 µs,552 µs
2023-10-17 21:00:00,568 µs,543 µs,582 µs
2023-10-17 22:00:00,549 µs,539 µs,565 µs
2023-10-17 23:00:00,545 µs,551 µs,574 µs
2023-10-18 00:00:00,543 µs,542 µs,562 µs
2023-10-18 01:00:00,555 µs,533 µs,549 µs
2023-10-18 02:00:00,548 µs,547 µs,547 µs
2023-10-18 03:00:00,538 µs,554 µs,546 µs
2023-10-18 04:00:00,530 µs,535 µs,547 µs
2023-10-18 05:00:00,529 µs,550 µs,561 µs
2023-10-18 06:00:00,551 µs,540 µs,562 µs
2023-10-18 07:00:00,636 µs,547 µs,692 µs
2023-10-18 08:00:00,541 µs,546 µs,566 µs
2023-10-18 09:00:00,584 µs,604 µs,577 µs
2023-10-18 10:00:00,558 µs,594 µs,580 µs
2023-10-18 11:00:00,540 µs,559 µs,579 µs
2023-10-18 12:00:00,545 µs,583 µs,578 µs
2023-10-18 13:00:00,534 µs,565 µs,574 µs
2023-10-18 14:00:00,539 µs,585 µs,576 µs
2023-10-18 15:00:00,525 µs,561 µs,561 µs
2023-10-18 16:00:00,540 µs,547 µs,566 µs
2023-10-18 17:00:00,528 µs,563 µs,572 µs
2023-10-18 18:00:00,539 µs,558 µs,577 µs
2023-10-18 19:00:00,550 µs,564 µs,584 µs
2023-10-18 20:00:00,520 µs,568 µs,582 µs
2023-10-18 21:00:00,534 µs,570 µs,576 µs
2023-10-18 22:00:00,521 µs,577 µs,577 µs
2023-10-18 23:00:00,529 µs,563 µs,581 µs
2023-10-19 00:00:00,520 µs,557 µs,570 µs
2023-10-19 01:00:00,534 µs,555 µs,595 µs
2023-10-19 02:00:00,532 µs,560 µs,590 µs
2023-10-19 03:00:00,530 µs,566 µs,584 µs
2023-10-19 04:00:00,529 µs,565 µs,584 µs
2023-10-19 05:00:00,528 µs,558 µs,572 µs
2023-10-19 06:00:00,535 µs,568 µs,595 µs
2023-10-19 07:00:00,549 µs,582 µs,578 µs
2023-10-19 08:00:00,540 µs,554 µs,567 µs
2023-10-19 09:00:00,533 µs,550 µs,631 µs
2023-10-19 10:00:00,537 µs,562 µs,571 µs
2023-10-19 11:00:00,548 µs,550 µs,567 µs
2023-10-19 12:00:00,552 µs,563 µs,572 µs
2023-10-19 13:00:00,594 µs,560 µs,571 µs
2023-10-19 14:00:00,587 µs,557 µs,572 µs
2023-10-19 15:00:00,530 µs,571 µs,571 µs
2023-10-19 16:00:00,542 µs,582 µs,580 µs
2023-10-19 17:00:00,537 µs,557 µs,565 µs
2023-10-19 18:00:00,537 µs,591 µs,576 µs
2023-10-19 19:00:00,539 µs,551 µs,580 µs
2023-10-19 20:00:00,595 µs,632 µs,594 µs
2023-10-19 21:00:00,538 µs,539 µs,577 µs
2023-10-19 22:00:00,550 µs,553 µs,564 µs
2023-10-19 23:00:00,562 µs,554 µs,558 µs
2023-10-20 00:00:00,557 µs,547 µs,577 µs
2023-10-20 01:00:00,552 µs,563 µs,560 µs
2023-10-20 02:00:00,553 µs,551 µs,554 µs
2023-10-20 03:00:00,549 µs,545 µs,561 µs
2023-10-20 04:00:00,548 µs,548 µs,549 µs
2023-10-20 05:00:00,554 µs,547 µs,559 µs
2023-10-20 06:00:00,566 µs,553 µs,557 µs
2023-10-20 07:00:00,563 µs,555 µs,557 µs
2023-10-20 08:00:00,566 µs,553 µs,564 µs
2023-10-20 09:00:00,570 µs,533 µs,553 µs
2023-10-20 10:00:00,571 µs,544 µs,554 µs
2023-10-20 11:00:00,567 µs,554 µs,561 µs
2023-10-20 12:00:00,559 µs,583 µs,560 µs
2023-10-20 13:00:00,553 µs,556 µs,569 µs
2023-10-20 14:00:00,564 µs,572 µs,602 µs
2023-10-20 15:00:00,561 µs,560 µs,561 µs
2023-10-20 16:00:00,541 µs,567 µs,560 µs
2023-10-20 17:00:00,559 µs,557 µs,574 µs
2023-10-20 18:00:00,559 µs,570 µs,574 µs
2023-10-20 19:00:00,538 µs,547 µs,582 µs
2023-10-20 20:00:00,536 µs,549 µs,568 µs
2023-10-20 21:00:00,543 µs,567 µs,568 µs
2023-10-20 22:00:00,537 µs,570 µs,567 µs
2023-10-20 23:00:00,535 µs,559 µs,578 µs
2023-10-21 00:00:00,521 µs,567 µs,574 µs
2023-10-21 01:00:00,521 µs,565 µs,584 µs
2023-10-21 02:00:00,522 µs,580 µs,589 µs
2023-10-21 03:00:00,513 µs,559 µs,570 µs
2023-10-21 04:00:00,525 µs,580 µs,574 µs
2023-10-21 05:00:00,538 µs,576 µs,585 µs
2023-10-21 06:00:00,533 µs,579 µs,583 µs
2023-10-21 07:00:00,540 µs,557 µs,589 µs
2023-10-21 08:00:00,536 µs,560 µs,580 µs
2023-10-21 09:00:00,539 µs,579 µs,641 µs
2023-10-21 10:00:00,535 µs,562 µs,590 µs
2023-10-21 11:00:00,538 µs,554 µs,584 µs
2023-10-21 12:00:00,526 µs,549 µs,566 µs
2023-10-21 13:00:00,527 µs,564 µs,568 µs
2023-10-21 14:00:00,526 µs,565 µs,563 µs
2023-10-21 15:00:00,530 µs,569 µs,560 µs
2023-10-21 16:00:00,529 µs,577 µs,582 µs
2023-10-21 17:00:00,550 µs,564 µs,572 µs
2023-10-21 18:00:00,541 µs,562 µs,566 µs
2023-10-21 19:00:00,531 µs,563 µs,568 µs
2023-10-21 20:00:00,532 µs,638 µs,566 µs
2023-10-21 21:00:00,534 µs,581 µs,580 µs
2023-10-21 22:00:00,529 µs,613 µs,576 µs
2023-10-21 23:00:00,515 µs,556 µs,571 µs
2023-10-22 00:00:00,519 µs,556 µs,564 µs
2023-10-22 01:00:00,610 µs,547 µs,571 µs
2023-10-22 02:00:00,527 µs,547 µs,563 µs
2023-10-22 03:00:00,554 µs,555 µs,562 µs
2023-10-22 04:00:00,558 µs,572 µs,570 µs
2023-10-22 05:00:00,530 µs,567 µs,580 µs
2023-10-22 06:00:00,524 µs,561 µs,593 µs
2023-10-22 07:00:00,552 µs,559 µs,564 µs
2023-10-22 08:00:00,526 µs,571 µs,561 µs
2023-10-22 09:00:00,530 µs,552 µs,570 µs
2023-10-22 10:00:00,536 µs,561 µs,567 µs
2023-10-22 11:00:00,530 µs,567 µs,560 µs
2023-10-22 12:00:00,535 µs,574 µs,578 µs
2023-10-22 13:00:00,549 µs,567 µs,574 µs
2023-10-22 14:00:00,521 µs,569 µs,564 µs
2023-10-22 15:00:00,520 µs,578 µs,568 µs
2023-10-22 16:00:00,527 µs,570 µs,575 µs
2023-10-22 17:00:00,525 µs,569 µs,571 µs
2023-10-22 18:00:00,525 µs,569 µs,572 µs
2023-10-22 19:00:00,536 µs,548 µs,563 µs
2023-10-22 20:00:00,546 µs,579 µs,570 µs
2023-10-22 21:00:00,544 µs,579 µs,572 µs
2023-10-22 22:00:00,544 µs,551 µs,578 µs
2023-10-22 23:00:00,540 µs,641 µs,596 µs
2023-10-23 00:00:00,532 µs,569 µs,567 µs
2023-10-23 01:00:00,520 µs,589 µs,592 µs
2023-10-23 02:00:00,528 µs,601 µs,601 µs
2023-10-23 03:00:00,523 µs,566 µs,582 µs
2023-10-23 04:00:00,521 µs,576 µs,578 µs
2023-10-23 05:00:00,520 µs,581 µs,577 µs
2023-10-23 06:00:00,528 µs,573 µs,578 µs
2023-10-23 07:00:00,546 µs,585 µs,592 µs
2023-10-23 08:00:00,521 µs,582 µs,573 µs
2023-10-23 09:00:00,532 µs,566 µs,573 µs
2023-10-23 10:00:00,527 µs,566 µs,581 µs
2023-10-23 11:00:00,535 µs,574 µs,588 µs
2023-10-23 12:00:00,533 µs,558 µs,569 µs
2023-10-23 13:00:00,544 µs,569 µs,575 µs
2023-10-23 14:00:00,948 µs,1.04 ms,592 µs
2023-10-23 15:00:00,540 µs,559 µs,574 µs
2023-10-23 16:00:00,533 µs,563 µs,574 µs
2023-10-23 17:00:00,533 µs,573 µs,566 µs
2023-10-23 18:00:00,549 µs,565 µs,567 µs
2023-10-23 19:00:00,525 µs,558 µs,566 µs
2023-10-23 20:00:00,526 µs,590 µs,566 µs
2023-10-23 21:00:00,527 µs,554 µs,572 µs
2023-10-23 22:00:00,531 µs,554 µs,577 µs
2023-10-23 23:00:00,532 µs,559 µs,575 µs
2023-10-24 00:00:00,539 µs,591 µs,594 µs
2023-10-24 01:00:00,531 µs,560 µs,572 µs
2023-10-24 02:00:00,515 µs,564 µs,575 µs
2023-10-24 03:00:00,536 µs,559 µs,581 µs
2023-10-24 04:00:00,523 µs,553 µs,579 µs
2023-10-24 05:00:00,528 µs,570 µs,570 µs
2023-10-24 06:00:00,529 µs,562 µs,565 µs
2023-10-24 07:00:00,542 µs,555 µs,579 µs
2023-10-24 08:00:00,537 µs,563 µs,566 µs

